index,category,description,influenceDistance,pct,x,y,z
76,0,Bonnie,21.4572,0.8796147672552167,-2.7397919,-0.621335,-0.10653281
77,0,Bonnie,16.3872,0.8780096308186196,-2.3064208,-0.47624063,0.27442956
78,0,Bonnie,23.7033,0.8764044943820225,-2.2836413,-0.5005398,0.20450401
79,0,Bonnie,33.2408,0.8747993579454254,-2.5109224,-0.709867,0.6120498
80,0,Bonnie,38.4723,0.8731942215088283,-2.4812665,-0.5406828,1.7716466
81,0,Bonnie,39.3615,0.8715890850722311,-2.8005161,-0.46664572,2.0512967
82,0,Bonnie,32.2364,0.869983948635634,-2.9992151,-0.58605576,2.2689872
83,0,Bonnie,30.5345,0.8683788121990369,-2.9481387,-0.52575874,2.252109
84,0,Bonnie,27.0194,0.8667736757624398,-2.8670177,-0.5169549,2.112907
85,0,Bonnie,25.5759,0.8651685393258427,-2.7716212,-0.4482603,1.8898948
86,0,Bonnie,31.1151,0.8635634028892456,-2.6037736,-0.3485732,2.0995536
87,0,Bonnie,38.1478,0.8619582664526485,-2.7296114,-0.58859015,2.2216587
88,0,Bonnie,83.8137,0.8603531300160514,7.3770943,-5.4239635,5.89081
89,0,Bonnie,43.1435,0.8587479935794543,7.2054615,-5.314443,5.656356
90,0,Bonnie,34.8553,0.8571428571428571,7.294359,-5.160518,5.766724
91,0,Bonnie,31.6417,0.85553772070626,7.2883186,-5.199939,5.8596168
92,0,Bonnie,46.3166,0.8539325842696629,7.3417397,-5.267337,5.9512415
93,0,Bonnie,52.107,0.8523274478330658,7.424322,-5.342079,6.060646
94,0,Bonnie,48.5221,0.8507223113964687,7.4770927,-5.5347147,5.912038
95,0,Bonnie,32.193,0.8491171749598716,7.23588,-5.2303762,5.7376804
96,0,Bonnie,28.4625,0.8475120385232745,7.2738113,-5.219426,5.854375
97,0,Bonnie,28.2689,0.8459069020866774,7.1340656,-5.044755,5.766094
98,0,Bonnie,27.8951,0.8443017656500803,7.284628,-5.22374,5.8781395
